experiment,case,instance_class,N,target_kappa,actual_kappa,eps_target,seed,certify_terminal,certificate_tol,effective_terminal_eps,total_iters,fwd_phases,rev_phases,runtime_sec,matched_pairs,object_terminal_certificate_passed_warm,terminal_certificate_passed_warm,terminal_fallback_used,cs_violation,feasible,outside_i_exact_error,outside_j_exact_error,outside_i_upper_ok,outside_j_upper_ok,matched_pair_error,object_terminal_certificate_passed_final,terminal_certificate_passed_final,full_equilibrium_diagnostic_passed
baseline,TU,TU,50,1,1.0,0.0001,22,True,0.0,0.0001,293,11,9,0.02002349984832108,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,23,True,0.0,0.0001,1356,11,9,0.12095941696316004,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,24,True,0.0,0.0001,225,11,9,0.015705165918916464,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,25,True,0.0,0.0001,587,11,9,0.04908495908603072,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,26,True,0.0,0.0001,240,11,9,0.0164444160182029,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,27,True,0.0,0.0001,239,11,9,0.01610433403402567,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,28,True,0.0,0.0001,320,11,9,0.02118154219351709,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,29,True,0.0,0.0001,282,11,9,0.019243125105276704,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.0001,30,True,0.0,0.0001,217,11,9,0.015272667165845633,50,True,True,False,0.00010013580322265625,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,1e-05,1,True,0.0,1e-05,281,13,11,0.019290084019303322,50,True,True,False,1.0013580322265625e-05,True,0.0,0.0,True,True,0.0,True,True,True
